*****************************
Basic coeficients
*****************************
   8.000    ,   -.1814E-02,    .2065E-02,   -.5803E-02,    .3031E-05,    .1289E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   10.00    ,   -.3276E-02,    .1040E-02,    .1221E-02,    .3810E-05,    .1992E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   12.00    ,   -.4871E-02,    .1828E-04,    .8821E-03,    .4664E-05,    .2692E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   14.00    ,   -.6711E-02,   -.1013E-02,    .5333E-03,    .5648E-05,    .3400E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   16.00    ,   -.9067E-02,   -.2077E-02,    .1809E-03,    .6904E-05,    .4129E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29

*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -30.00    ,   -23.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    16.00    
  -6.000    ,    .7398E-02,    .6102E-02,    .5099E-02,    .2992E-02,    .1221E-02,   -.1891E-05,   -.6709E-03,   -.7915E-03,   -.3139E-03
  -4.000    ,    .6129E-02,    .4985E-02,    .4110E-02,    .2314E-02,    .8821E-03,   -.1213E-05,   -.3319E-03,   -.1136E-03,    .7256E-03
  -2.000    ,    .4823E-02,    .3836E-02,    .3093E-02,    .1617E-02,    .5333E-03,   -.5152E-06,    .1695E-04,    .5841E-03,    .1795E-02
    .000    ,    .3503E-02,    .2675E-02,    .2065E-02,    .9119E-03,    .1809E-03,    .1896E-06,    .3694E-03,    .1289E-02,    .2876E-02
   2.000    ,    .2188E-02,    .1518E-02,    .1040E-02,    .2093E-03,   -.1705E-03,    .8922E-06,    .7207E-03,    .1992E-02,    .3953E-02
   4.000    ,    .8759E-03,    .3631E-03,    .1828E-04,   -.4916E-03,   -.5209E-03,    .1593E-05,    .1071E-02,    .2692E-02,    .5028E-02
   6.000    ,   -.4481E-03,   -.8019E-03,   -.1013E-02,   -.1199E-02,   -.8746E-03,    .2301E-05,    .1425E-02,    .3400E-02,    .6112E-02
   8.000    ,   -.1814E-02,   -.2003E-02,   -.2077E-02,   -.1928E-02,   -.1239E-02,    .3031E-05,    .1790E-02,    .4129E-02,    .7231E-02
   10.00    ,   -.3276E-02,   -.3290E-02,   -.3216E-02,   -.2709E-02,   -.1630E-02,    .3810E-05,    .2180E-02,    .4910E-02,    .8428E-02
   12.00    ,   -.4871E-02,   -.4694E-02,   -.4458E-02,   -.3562E-02,   -.2056E-02,    .4664E-05,    .2606E-02,    .5763E-02,    .9735E-02
   14.00    ,   -.6711E-02,   -.6312E-02,   -.5892E-02,   -.4545E-02,   -.2547E-02,    .5648E-05,    .3098E-02,    .6745E-02,    .1124E-01
   16.00    ,   -.9067E-02,   -.8386E-02,   -.7727E-02,   -.5803E-02,   -.3177E-02,    .6904E-05,    .3727E-02,    .8004E-02,    .1317E-01

DeltaElev, CL_Elev
  -30.00    ,   -.1324    
  -23.00    ,   -.1167    
  -15.00    ,   -.1021    
  -10.00    ,   -.6987E-01
  -5.000    ,   -.3494E-01
    .000    ,    .6987E-04
   5.000    ,    .3494E-01
   10.00    ,    .6987E-01
   16.00    ,    .1075    

DeltaElev, Cm_Elev
  -30.00    ,    .4112    
  -23.00    ,    .3630    
  -15.00    ,    .3160    
  -10.00    ,    .2171    
  -5.000    ,    .1085    
    .000    ,   -.2171E-03
   5.000    ,   -.1085    
   10.00    ,   -.2171    
   16.00    ,   -.3324    

DeltaElev, CLa_Elev
  -30.00    ,     .000    
  -23.00    ,     .000    
  -15.00    ,     .000    
  -10.00    ,     .000    
  -5.000    ,     .000    
    .000    ,     .000    
   5.000    ,     .000    
   10.00    ,     .000    
   16.00    ,     .000    

DeltaElev, Cha_Elev
  -30.00    ,   -.1881E-02
  -23.00    ,   -.1881E-02
  -15.00    ,   -.1881E-02
  -10.00    ,   -.1881E-02
  -5.000    ,   -.1881E-02
    .000    ,   -.1881E-02
   5.000    ,   -.1881E-02
   10.00    ,   -.1881E-02
   16.00    ,   -.1881E-02

DeltaElev, Chd_Elev
  -30.00    ,   -.8937E-02
  -23.00    ,   -.8812E-02
  -15.00    ,   -.8464E-02
  -10.00    ,   -.8426E-02
  -5.000    ,   -.8426E-02
    .000    ,   -.8426E-02
   5.000    ,   -.8426E-02
   10.00    ,   -.8426E-02
   16.00    ,   -.8483E-02



